doc_id,business_unit_db,business_unit_misa,old_amount_db,new_amount_misa
NKBH26041099,BU_ELEVATOR,VHC_BOD,926239776.0,926239776.0
NKBH26040514,BU_ELEVATOR,ĐTCT,63981481.0,178227844.0
NKBH26040516,BU_ELEVATOR,ĐTCT,33333333.0,96875931.0
NKBH26070112,BU_ELEVATOR,VHC,23861250.0,26069395.0
NKBH26070880,BU_ELEVATOR,ĐTCT,23148148.0,76221827.0
NKBH26040515,BU_ELEVATOR,ĐTCT,3575000.0,73773107.0
NKBH26070889,BU_ELEVATOR,ĐTCT,2600000.0,20169948.0
NKBH26040504,BU_ELEVATOR,ĐTCT,250000.0,21268774.0
NKBH26040505,BU_ELEVATOR,ĐTCT,121920.0,82466322.0
NKBH26070040,BU_ELEVATOR,VHC_SCM,0.0,0.0
